ID,Title,Year,Age,IMDb,Netflix,Hulu,Prime Video,Disney+,Directors,Type
76,Blue Is the Warmest Color,2013,18.0,7.7,1,0,0,0,Abdellatif Kechiche,0
77,Y Tu Mamá También,2001,18.0,7.6,1,0,0,0,Alfonso Cuarón,0
78,The Naked Gun: From the Files of Police Squad!,1988,13.0,7.6,1,0,0,0,David Zucker,0
79,Mud,2013,13.0,7.4,1,0,0,0,Jeff Nichols,0
80,The Edge of Seventeen,2016,18.0,7.3,1,0,0,0,Kelly Fremon Craig,0
81,Philadelphia,1993,13.0,7.7,1,0,0,0,,0
82,Lagaan: Once Upon a Time in India,2001,7.0,8.1,1,0,0,0,Ashutosh Gowariker,0
83,Tucker and Dale vs. Evil,2010,18.0,7.5,1,0,0,0,Eli Craig,0
84,The Matrix Reloaded,2003,18.0,7.2,1,0,0,0,"Lana Wachowski,Lilly Wachowski",0
85,The Two Popes,2019,13.0,7.6,1,0,0,0,Fernando Meirelles,0
86,The Last Samurai,2003,18.0,7.7,1,0,0,0,Edward Zwick,0
87,The Florida Project,2017,18.0,7.6,1,0,0,0,Sean Baker,0
88,13th,2016,18.0,8.2,1,0,0,0,Ava DuVernay,0
89,Bahubali: The Beginning,2015,13.0,8.1,1,0,0,0,S.S. Rajamouli,0
90,The Dawn Wall,2018,,8.1,1,0,0,0,"Josh Lowell,Peter Mortimer",0
91,Dolemite Is My Name,2019,18.0,7.3,1,0,0,0,Craig Brewer,0
92,Tarzan,1999,7.0,7.3,1,0,0,0,David Yates,0
93,The Platform,2019,18.0,7.0,1,0,0,0,Galder Gaztelu-Urrutia,0
94,Okja,2017,13.0,7.3,1,0,0,0,Bong Joon Ho,0
95,Roma,2018,18.0,7.7,1,0,0,0,,0
96,Saving Mr. Banks,2013,13.0,7.5,1,0,0,1,John Lee Hancock,0
97,Icarus,2017,18.0,7.9,1,0,0,0,Bryan Fogel,0
98,Jiro Dreams of Sushi,2011,7.0,7.9,1,1,0,0,David Gelb,0
99,Corpse Bride,2005,7.0,7.3,1,0,0,0,"Tim Burton,Mike Johnson",0
100,Jerry Maguire,1996,18.0,7.3,1,0,0,0,Cameron Crowe,0
101,The Death of Stalin,2017,18.0,7.2,1,0,0,0,Armando Iannucci,0
102,GoldenEye,1995,13.0,7.2,1,0,0,0,Martin Campbell,0
103,The Boy in the Striped Pyjamas,2008,13.0,7.8,1,0,0,0,Mark Herman,0
104,Amy,2015,18.0,7.8,1,0,1,1,,0
105,Ralph Breaks the Internet,2018,7.0,7.1,1,0,0,0,"Phil Johnston,Rich Moore",0
106,Good Time,2017,18.0,7.4,1,0,0,0,"Benny Safdie,Josh Safdie",0
107,Ip Man 2,2010,18.0,7.5,1,0,0,0,Wilson Yip,0
108,The Little Prince,2015,7.0,7.7,1,0,0,0,Mark Osborne,0
109,The Spectacular Now,2013,18.0,7.1,1,0,0,0,James Ponsoldt,0
110,Baahubali 2: The Conclusion,2017,7.0,8.2,1,0,0,0,S.S. Rajamouli,0
111,Black Mirror: Bandersnatch,2018,,7.2,1,0,0,0,David Slade,0
112,PK,2014,13.0,8.1,1,0,0,0,Rajkumar Hirani,0
113,Extraction,2020,18.0,6.8,1,0,0,0,Sam Hargrave,0
114,The Lobster,2015,18.0,7.2,1,0,0,0,Yorgos Lanthimos,0
115,Blue Valentine,2010,18.0,7.4,1,0,0,0,Derek Cianfrance,0
116,Zindagi Na Milegi Dobara,2011,7.0,8.1,1,0,0,0,Zoya Akhtar,0
117,Green Room,2015,18.0,7.0,1,0,0,0,Jeremy Saulnier,0
118,Kung Fu Panda 2,2011,7.0,7.2,1,0,0,0,Jennifer Yuh Nelson,0
119,The Ballad of Buster Scruggs,2018,18.0,7.3,1,0,0,0,"Ethan Coen,Joel Coen",0
120,Cloverfield,2008,13.0,7.0,1,0,0,0,Matt Reeves,0
121,Burning,2018,18.0,7.5,1,0,0,0,Chang-dong Lee,0
122,The Adventures of Tintin,2011,7.0,7.3,1,0,0,0,Steven Spielberg,0
123,Bolt,2008,7.0,6.8,1,0,0,1,"Byron Howard,Chris Williams",0
124,Neon Genesis Evangelion: The End of Evangelion,1997,,8.1,1,0,0,0,"Hideaki Anno,Kazuya Tsurumaki",0
125,Chasing Amy,1997,18.0,7.2,1,0,0,0,Kevin Smith,0
126,The Princess and the Frog,2009,7.0,7.1,1,0,0,1,"Ron Clements,John Musker",0
127,Bad Genius,2017,13.0,7.6,1,0,0,0,Nattawut Poonpiriya,0
128,The Wicker Man,1973,18.0,7.5,1,0,0,0,Robin Hardy,0
129,A Single Man,2009,18.0,7.6,1,0,0,0,Tom Ford,0
130,Blow,2001,18.0,7.6,1,0,0,0,Ted Demme,0
131,The Squid and the Whale,2005,18.0,7.3,1,0,1,0,Noah Baumbach,0
132,My Life as a Zucchini,2016,13.0,7.8,1,0,0,0,Claude Barras,0
133,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,18.0,7.7,1,0,0,0,Chris Smith,0
134,Barfi!,2012,7.0,8.1,1,0,0,0,Anurag Basu,0
135,Frances Ha,2013,18.0,7.5,1,0,0,0,Noah Baumbach,0
136,Tootsie,1982,7.0,7.4,1,0,0,0,Sydney Pollack,0
137,Solo: A Star Wars Story,2018,13.0,6.9,1,0,0,0,Ron Howard,0
138,Steve Jobs,2015,18.0,7.2,1,0,0,0,Danny Boyle,0
139,Tremors,1990,13.0,7.1,1,0,0,0,Ron Underwood,0
140,The Croods,2013,7.0,7.2,1,0,0,0,"Kirk DeMicco,Chris Sanders",0
141,Locke,2014,18.0,7.1,1,0,0,0,Steven Knight,0
142,Bill Burr: I'm Sorry You Feel That Way,2014,18.0,8.4,1,0,0,0,Jay Karas,0
143,Starred Up,2013,18.0,7.4,1,0,1,0,David Mackenzie,0
144,Mudbound,2017,18.0,7.4,1,0,0,0,Dee Rees,0
145,Austin Powers: International Man of Mystery,1997,13.0,7.0,1,0,0,0,Jay Roach,0
146,Blue Ruin,2013,18.0,7.1,1,0,0,0,Jeremy Saulnier,0
