ID,Title,Year,Age,IMDb,Netflix,Hulu,Prime Video,Disney+,Directors,Type
1706,I Am the Pretty Thing That Lives in the House,2016,,4.5,1,0,0,0,Oz Perkins,0
1707,Ghayal,1990,18.0,7.6,1,0,1,0,Rajkumar Santoshi,0
1708,Father of the Year,2018,16.0,5.2,1,0,0,0,Tyler Spindel,0
1709,The Adderall Diaries,2016,18.0,5.2,1,0,0,0,Pamela Romanowsky,0
1710,Psycho,2020,,6.3,1,0,0,0,Alfred Hitchcock,0
1711,Wedding Unplanned,2017,16.0,6.2,1,0,0,0,Reem Kherici,0
1712,CRD,2016,,6.3,1,0,0,0,Kranti Kanadé,0
1713,Bad Seeds,2018,,7.3,1,0,0,0,Kheiron,0
1714,Armed to the Teeth,2018,,8.2,1,0,0,0,Alberto Saúl Arnaut Estrada,0
1715,A Leaf of Faith,2018,,7.0,1,0,0,0,"Chris Bell,David Baca Jr.",0
1716,7 Años,2016,,6.8,1,0,0,0,Roger Gual,0
1717,Ready,2011,,4.7,1,0,1,0,Anees Bazmee,0
1718,ABCD,2013,13.0,6.3,1,0,1,0,Krutin Patel,0
1719,300 Miles to Heaven,1989,,7.2,1,0,1,0,Maciej Dejczer,0
1720,The Legacy of a Whitetail Deer Hunter,2018,16.0,5.5,1,0,0,0,Jody Hill,0
1721,Shorts,2009,7.0,4.7,1,0,0,0,Robert Rodriguez,0
1722,Rim of the World,2019,7.0,5.1,1,0,0,0,McG,0
1723,Clinical,2017,,5.1,1,0,0,0,Alistair Legrand,0
1724,Phir Bhi Dil Hai Hindustani,2000,13.0,6.2,1,0,0,0,Aziz Mirza,0
1725,Sun Dogs,2017,,6.2,1,0,0,0,Jennifer Morrison,0
1726,Thor: Tales of Asgard,2011,7.0,6.3,1,0,0,0,Sam Liu,0
1727,Phobia 2,2009,18.0,6.7,1,0,0,0,"Banjong Pisanthanakun,Visute Poolvoralaks,Paween Purikitpanya,Songyos Sugmakanan,Parkpoom Wongpoom",0
1728,How to Get Over a Breakup,2018,18.0,6.2,1,0,0,0,"Bruno Ascenzo,Joanna Lombardi",0
1729,Monty Python: Parrot Sketch Not Included,1989,,8.2,1,0,0,0,Ian MacNaughton,0
1730,Marc Maron: Thinky Pain,2013,,7.4,1,0,1,0,Lance Bangs,0
1731,First Kill,2017,18.0,5.0,1,0,0,0,Steven C. Miller,0
1732,Barbra: The Music ... The Mem'ries ... The Magic!,2017,,7.5,1,0,0,0,"Jim Gable,Barbra Streisand",0
1733,Ee Nagaraniki Emaindi,2018,7.0,7.9,1,0,0,0,Tharun Bhascker Dhaassyam,0
1734,Miss Julie,2014,13.0,5.4,1,0,0,0,Liv Ullmann,0
1735,Why We Fight: Prelude to War,1942,,7.0,1,0,1,0,"Frank Capra,Anatole Litvak",0
1736,Sunrise In Heaven,2019,,6.6,1,0,0,0,Waymon Boone,0
1737,Michael Che Matters,2016,,7.1,1,0,0,0,Osmany Rodriguez,0
1738,Theo Who Lived,2016,,6.8,1,0,0,0,David Schisgall,0
1739,Everything About Her,2016,,7.2,1,0,0,0,Joyce Bernal,0
1740,The Stand at Paxton County,2020,,6.4,1,0,0,0,Brett Hedlund,0
1741,Ready to Mingle,2019,18.0,5.9,1,0,0,0,Luis Javier Henaine,0
1742,The Journey Is the Destination,2016,18.0,6.3,1,0,0,0,Bronwen Hughes,0
1743,The Battle of Midway,1942,7.0,6.1,1,0,1,0,Jack Smight,0
1744,The Bye Bye Man,2017,13.0,4.2,1,0,0,0,Stacy Title,0
1745,Lady-Like,2017,18.0,6.0,1,0,0,0,Brent Craft,0
1746,Extremis,2016,7.0,7.3,1,0,0,0,Steve Stone,0
1747,Gnome Alone,2017,7.0,5.6,1,0,0,0,Peter Lepeniotis,0
1748,Naomi and Ely's No Kiss List,2015,,5.5,1,0,0,0,Kristin Hanggi,0
1749,Legendary Weapons of China,1982,18.0,7.0,1,0,1,0,Chia-Liang Liu,0
1750,A Love Story,2007,,6.5,1,0,0,0,,0
1751,1920,2008,,6.4,1,0,1,0,Vikram Bhatt,0
1752,Spy Kids: All the Time in the World,2011,7.0,3.5,1,0,0,0,Robert Rodriguez,0
1753,The Blue Umbrella,2005,,7.5,1,0,0,0,Vishal Bhardwaj,0
1754,Rajma Chawal,2018,,5.8,1,0,0,0,Leena Yadav,0
1755,You Carry Me,2015,,7.0,1,0,0,0,Ivona Juka,0
1756,Monster High: Electrified,2017,7.0,5.7,1,0,0,0,"Avgousta Zourelidi,Jun Falkenstein",0
1757,Running for Grace,2018,16.0,6.1,1,0,0,0,David L. Cunningham,0
1758,Saving Capitalism,2017,,6.8,1,0,0,0,"Jacob Kornbluth,Sari Gilman",0
1759,End Game,2018,,7.1,1,0,1,0,Andy Cheng,0
1760,Story of an Egg,2017,7.0,8.0,1,0,0,0,Raj B. Shetty,0
1761,Love on Delivery,1994,16.0,6.9,1,0,1,0,Lik-Chi Lee,0
1762,The Little Mermaid,2018,7.0,4.2,1,0,0,1,"Ron Clements,John Musker",0
1763,Eerie,2018,,4.7,1,0,1,0,Mikhail Red,0
1764,3022,2019,18.0,4.5,1,0,0,0,John Suits,0
1765,No Other Woman,2011,16.0,6.3,1,0,0,0,Frederick De Cordova,0
1766,Invisible Essence: The Little Prince,2018,,7.5,1,0,0,0,Charles Officer,0
1767,Naam Shabana,2017,,6.3,1,0,0,0,Shivam Nair,0
1768,Girls & Panzer: The Movie,2015,16.0,7.3,1,0,0,0,Tsutomu Mizushima,0
1769,Pyaar Ke Side Effects,2006,7.0,6.7,1,0,0,0,Saket Chaudhary,0
1770,Humpty Sharma Ki Dulhania,2014,7.0,6.0,1,0,0,0,Shashank Khaitan,0
1771,Chris D'Elia: Incorrigible,2015,18.0,6.5,1,0,0,0,Bill D'Elia,0
1772,Lommbock,2017,,6.8,1,0,0,0,Christian Zübert,0
1773,There's Something in the Water,2019,,6.7,1,0,0,0,"Ian Daniel,Ellen Page",0
1774,It Takes A Man And A Woman,2013,7.0,6.7,1,0,0,0,Cathy Garcia-Molina,0
1775,Good Luck,2014,,6.7,1,0,0,0,Carolina Jabor,0
1776,Birthmarked,2018,,5.7,1,0,0,0,Emanuel Hoss-Desmarais,0
1777,Zapped,2014,7.0,5.1,1,1,0,1,Peter DeLuise,0
1778,Twin Murders: The Silence of the White City,2019,18.0,5.2,1,0,0,0,Daniel Calparsoro,0
1779,Bheeshma,2020,,6.7,1,0,0,0,Venky Kudumula,0
1780,Dave Chappelle: Equanimity,2017,,8.2,1,0,0,0,Stan Lathan,0
1781,Tom and Jerry: The Magic Ring,2002,7.0,6.3,1,0,0,0,James T. Walker,0
1782,My Stupid Boss,2016,,7.2,1,0,0,0,Upi Avianto,0
1783,Zion,2018,,7.2,1,0,0,0,Floyd Russ,0
1784,Mr. Pig,2016,,5.7,1,0,0,0,Diego Luna,0
1785,Loev,2016,,5.8,1,0,0,0,Sudhanshu Saria,0
1786,Manu,2018,,7.9,1,0,0,0,Phanindra Narsetti,0
1787,Main Meri Patni Aur Woh,2005,7.0,7.3,1,0,0,0,Chandan Arora,0
1788,Painted Faces,1988,,7.0,1,0,0,0,Alex Law,0
1789,Deewana,1992,,6.8,1,0,1,0,Raj Kanwar,0
1790,Sister Cities,2016,16.0,6.8,1,0,0,0,Sean Hanish,0
1791,Janaan,2016,,7.1,1,0,0,0,Azfar Jafri,0
1792,Travis Scott: Look Mom I Can Fly,2019,18.0,6.3,1,0,0,0,"White Trash Tyler,Isaac Yowman",0
1793,A Dangerous Woman,1993,18.0,5.8,1,0,0,0,Stephen Gyllenhaal,0
1794,Beast Stalker,2008,,6.8,1,0,0,0,Dante Lam,0
1795,Eddie: Strongman,2015,16.0,7.5,1,0,0,0,Matt Bell,0
1796,Bolbol Hayran,2010,,6.4,1,0,0,0,Khalid Marie,0
1797,ABCD 2,2015,7.0,5.4,1,0,0,0,Remo D'Souza,0
1798,Road to Roma,2020,,7.7,1,0,0,0,"Andres Clariond,Gabriel Nuncio",0
1799,The Love Affair,2015,,6.2,1,0,0,0,Claudio Guerín,0
1800,We Are Young. We Are Strong.,2014,,7.1,1,0,0,0,Burhan Qurbani,0
1801,Our Planet: Behind The Scenes,2019,,8.3,1,0,0,0,"Huw Cordey,Sophie Lanfear,Ilaira Mallalieu,Kieran O'Donovan,Hugh Pearson,Gisle Sverdrup",0
1802,The Black Prince,2017,13.0,6.6,1,0,0,0,Kavi Raz,0
1803,Kuchh Bheege Alfaaz,2018,,7.5,1,0,0,0,Onir,0
1804,Kingdom of Us,2017,,7.0,1,0,0,0,Lucy Cohen,0
1805,My Little Pony: Equestria Girls - Legend of Everfree,2016,7.0,6.4,1,0,0,0,Ishi Rudell,0
1806,Pa Paandi,2017,,7.6,1,0,1,0,Dhanush,0
1807,The Humanity Bureau,2017,18.0,4.8,1,0,0,0,Rob W. King,0
1808,Barbie in Princess Power,2015,7.0,5.5,1,0,0,0,Ezekiel Norton,0
1809,Big Kill,2018,18.0,5.3,1,0,0,0,Scott Martin,0
1810,Accident,2009,18.0,6.6,1,0,0,0,Joseph Losey,0
1811,Girlfriend's Day,2017,18.0,5.2,1,0,0,0,Michael Paul Stephenson,0
1812,The Ruthless,2019,18.0,6.2,1,0,0,0,Renato De Maria,0
1813,Thambi,2019,,6.8,1,0,0,0,Jeethu Joseph,0
1814,Roped,2020,7.0,5.5,1,0,0,0,Shaun Paul Piccinino,0
1815,All I Wish,2018,18.0,5.1,1,0,0,0,Susan Walter,0
1816,İncir Reçeli 2,2014,13.0,6.1,1,0,0,0,Aytaç Agirlar,0
1817,I Don't Know How She Does It,2011,13.0,4.9,1,0,0,0,Douglas McGrath,0
1818,Bob Lazar: Area 51 and Flying Saucers,2018,,5.5,1,0,0,0,Jeremy Kenyon Lockyer Corbell,0
1819,League of Legends Origins,2019,,6.5,1,0,0,0,Leslie Iwerks,0
1820,Varane Avashyamund,2020,,6.9,1,0,0,0,Anoop Sathyan,0
1821,Out of Thin Air,2017,,6.3,1,0,0,0,Dylan Howitt,0
1822,Jeff Dunham: Minding the Monsters,2012,13.0,7.1,1,0,1,0,"Manny Rodriguez,Matthew McNeil",0
1823,Noblemen,2019,,5.8,1,0,0,0,Vandana Kataria,0
1824,Highly Strung,2016,,7.2,1,0,0,0,Sophie Laloy,0
1825,Gabriel Iglesias: I'm Sorry for What I Said When I Was Hungry,2016,,7.4,1,0,0,0,Manny Rodriguez,0
1826,Bert Kreischer: The Machine,2016,18.0,7.7,1,0,0,0,Ryan Polito,0
1827,The Music of Silence,2017,,6.6,1,0,0,0,Michael Radford,0
1828,The Feels,2017,18.0,5.1,1,0,0,0,Jenée LaMarque,0
1829,Russell Peters: Notorious,2013,,7.1,1,0,0,0,David Higby,0
1830,Jeff Dunham: All Over the Map,2014,13.0,7.1,1,0,1,0,Rob Dipple,0
1831,Sara's Notebook,2018,18.0,5.9,1,0,0,0,Norberto López Amado,0
1832,Surga yang Tak Dirindukan,2015,,7.9,1,0,0,0,Kuntz Agus,0
1833,Chamatkar,1992,7.0,6.6,1,0,0,0,Rajiv Mehra,0
1834,93 Days,2016,,6.0,1,0,1,0,Steve Gukas,0
1835,Phantom,2015,,5.9,1,0,0,0,Mike Marvin,0
1836,Catfight,2017,,5.8,1,0,0,0,Onur Tukel,0
1837,Ayat-Ayat Cinta 2,2017,,5.6,1,0,0,0,Guntur Soeharjanto,0
1838,Munafik 2,2018,,6.3,1,0,0,0,Syamsul Yusof,0
1839,Jhankaar Beats,2003,,7.2,1,0,0,0,Sujoy Ghosh,0
1840,Dark Crimes,2018,18.0,4.9,1,0,0,0,Alexandros Avranas,0
1841,Tim Minchin and the Heritage Orchestra: Live at the Royal Albert Hall,2011,,8.5,1,0,1,0,,0
1842,Your Son,2018,,6.1,1,0,0,0,Miguel Ángel Vivas,0
1843,B.A. Pass,2012,13.0,6.4,1,0,0,0,Ajay Bahl,0
1844,Hostage to the Devil,2016,18.0,5.8,1,0,0,0,Marty Stalker,0
1845,Once Upon a Time in London,2019,,6.1,1,0,0,0,Simon Rumley,0
1846,Visions,2015,18.0,5.3,1,0,0,0,Kevin Greutert,0
1847,The Most Hated Woman in America,2017,18.0,6.1,1,0,0,0,Tommy O'Haver,0
1848,The Silence of the Sky,2016,,6.5,1,0,0,0,Marco Dutra,0
1849,Duplicate,1998,7.0,5.5,1,0,0,0,Bill Oliver,0
1850,Sam Kinison: Breaking the Rules,1987,18.0,7.3,1,0,1,0,Walter C. Miller,0
1851,Wrong Side Raju,2016,,8.0,1,0,0,0,Mikhil Musale,0
1852,Good People,2014,18.0,5.5,1,0,0,0,Henrik Ruben Genz,0
1853,Devil's Bride,2016,18.0,6.0,1,0,0,0,Saara Cantell,0
1854,Sebastian Maniscalco: Stay Hungry,2019,18.0,7.1,1,0,0,0,Rik Reinholdtsen,0
1855,The Last Laugh,2019,,5.6,1,0,0,0,Greg Pritikin,0
1856,Escape from the 'Liberty' Cinema,1990,7.0,7.2,1,0,0,0,Wojciech Marczewski,0
1857,Government Woman,2013,,6.5,1,0,0,0,Sermiyan Midyat,0
1858,Hoodwinked Too! Hood VS. Evil,2011,7.0,4.7,1,0,0,0,Mike Disa,0
1859,Whitney Cummings: Can I Touch It?,2019,,6.4,1,0,0,0,Marcus Raboy,0
1860,Yol Arkadaşım 2,2018,13.0,5.9,1,0,0,0,,0
1861,Anaarkali of Aarah,2017,,6.4,1,0,0,0,Avinash Das,0
1862,Dead Kids,2019,18.0,5.5,1,0,0,0,Michael Laughlin,0
1863,Verses of Love,2008,,7.1,1,0,0,0,Hanung Bramantyo,0
1864,Nang-Nak,1999,13.0,6.5,1,0,0,0,Nonzee Nimibutr,0
1865,From One Second to the Next,2013,,7.4,1,0,0,0,Werner Herzog,0
1866,Swiped,2018,,3.6,1,0,0,0,Ann Deborah Fishman,0
1867,Freedom at Midnight,2018,,7.4,1,0,0,0,Tinu Pappachan,0
1868,Jeff Dunham: Relative Disaster,2017,,6.4,1,0,0,0,"Michael Simon,Matthew McNeil",0
1869,Loving,2017,,5.3,1,0,0,0,Esteban Crespo,0
1870,Sarvam Thaala Mayam,2019,7.0,7.6,1,0,0,0,Rajiv Menon,0
1871,Rocco,2016,18.0,5.8,1,0,0,0,"Thierry Demaizière,Alban Teurlai",0
1872,The Cell,2017,,6.4,1,0,0,0,Tarsem Singh,0
1873,Gori Tere Pyaar Mein,2013,,5.0,1,0,0,0,Punit Malhotra,0
1874,Operações Especiais,2015,,6.4,1,0,0,0,Keoni Waxman,0
1875,Vizontele Tuuba,2004,,6.5,1,0,0,0,Yilmaz Erdogan,0
1876,Summer of '92,2015,,6.9,1,0,0,0,Kasper Barfoed,0
1877,Power of Grayskull: The Definitive History of He-Man and the Masters of the Universe,2017,,6.8,1,0,0,0,"Randall Lobb,Robert McCallum",0
1878,Waiting,2016,,7.2,1,0,0,0,Rob McKittrick,0
1879,Shor in the City,2011,7.0,7.2,1,0,0,0,"Krishna D.K.,Raj Nidimoru",0
1880,Bangkok Traffic Love Story,2009,7.0,7.2,1,0,0,0,Adisorn Trisirikasem,0
1881,Inside Man: Most Wanted,2019,18.0,5.6,1,0,0,0,M.J. Bassett,0
1882,Dabbe 5: Zehr-i Cin,2014,,6.0,1,0,0,0,Hasan Karacadag,0
1883,Chris D'Elia: Man on Fire,2017,18.0,6.6,1,0,0,0,Bill D'Elia,0
1884,Chris Tucker Live,2015,18.0,6.3,1,0,0,0,Phil Joanou,0
1885,The Rehearsal,2016,,5.7,1,0,0,0,Alison Maclean,0
1886,Diana: 7 Days That Shook the Windsors,2017,,7.4,1,0,0,0,Ben Ryder,0
1887,Antoine Griezmann: The Making of a Legend,2019,,6.5,1,0,0,0,,0
1888,Muramba,2017,7.0,8.1,1,0,0,0,Varun Narvekar,0
1889,Ho Mann Jahaan,2015,7.0,7.2,1,0,1,0,"Asim Raza,Bilawal Hussain Abbasi,Shaan Sheikh,Shehrazade Sheikh",0
1890,Yol Arkadaşım,2017,13.0,6.1,1,0,0,0,Howard Franklin,0
1891,Watchman,2019,,6.3,1,0,0,0,"Doug Coleman,A.L. Vijay",0
1892,Love for Sale,2018,,7.4,1,0,0,0,Karim Aïnouz,0
1893,Vir Das: Abroad Understanding,2017,18.0,6.8,1,0,0,0,Marcus Raboy,0
1894,Wrong No.,2015,,6.7,1,0,1,0,Yasir Nawaz,0
1895,Sahara,2017,7.0,5.5,1,0,0,0,Breck Eisner,0
1896,Stereo,2014,,6.6,1,0,0,0,Maximilian Erlenwein,0
1897,Be Somebody,2016,7.0,5.6,1,0,0,0,Joshua Caldwell,0
1898,Belmonte,2019,,6.1,1,0,0,0,Federico Veiroj,0
1899,Sitara: Let Girls Dream,2019,,7.3,1,0,0,0,Sharmeen Obaid-Chinoy,0
1900,Derren Brown: The Push,2018,,7.7,1,0,0,0,Jon Richards,0
1901,Off Course,2015,,5.8,1,0,0,0,Nacho G. Velilla,0
1902,Düğün Dernek 2: Sünnet,2015,13.0,6.4,1,0,0,0,Selçuk Aydemir,0
1903,San Pietro,1945,,6.6,1,0,1,0,John Huston,0
1904,Sarajevo,2014,,6.7,1,0,0,0,Michael Winterbottom,0
1905,Balu Mahi,2017,,6.4,1,0,0,0,Haissam Hussain,0
1906,A Cinderella Story: Christmas Wish,2019,7.0,5.2,1,0,0,0,Michelle Johnston,0
1907,Once Again,2019,,7.1,1,0,1,0,Kanwal Sethi,0
1908,Mortified Nation,2013,,7.3,1,0,0,0,Michael Mayer,0
1909,The Mistress,2012,13.0,6.3,1,0,1,0,Olivia M. Lamasan,0
1910,Don Verdean,2015,13.0,5.4,1,0,0,0,Jared Hess,0
1911,Tremors 5: Bloodlines,2015,13.0,5.3,1,0,0,0,Don Michael Paul,0
1912,The Sinking of Van Der Wijck,2013,,7.6,1,0,0,0,Sunil Soraya,0
1913,Sturgill Simpson Presents Sound & Fury,2019,,6.5,1,0,0,0,"Michael Arias,Masaru Matsumoto,Junpei Mizusaki,Kôji Morimoto,Elsa Nakamichi,Henry Thurlow",0
1914,Mary's Land,2013,13.0,6.6,1,0,0,0,Juan Manuel Cotelo,0
1915,Olmo and the Seagull,2015,,7.3,1,0,0,0,"Petra Costa,Lea Glob",0
1916,Sister In Law,2016,,5.1,1,0,0,0,Kivanç Baruönü,0
1917,"The Other One: The Long, Strange Trip of Bob Weir",2014,,7.4,1,0,0,0,Mike Fleiss,0
1918,Sebastian Maniscalco: Why Would You Do That?,2016,16.0,7.3,1,0,0,0,Joe DeMaio,0
1919,Walk. Ride. Rodeo.,2019,7.0,6.4,1,0,0,0,Conor Allyn,0
1920,Emmanuel Macron: Behind the Rise,2017,,6.9,1,0,0,0,Yann L'Hénoret,0
1921,Aadu 2,2017,,7.1,1,0,0,0,Midhun Manuel Thomas,0
1922,Dude,2018,18.0,5.1,1,0,0,0,Olivia Milch,0
1923,Franca: Chaos and Creation,2016,,7.6,1,0,0,0,Francesco Carrozzini,0
1924,Shéhérazade,2018,18.0,7.1,1,0,0,0,J.J. Alani,0
1925,Under the Eiffel Tower,2019,,5.1,1,0,0,0,Archie Borders,0
1926,Motu Patlu: King Of Kings,2016,,6.7,1,0,0,0,Suhas Kadav,0
1927,I Hate Luv Storys,2010,7.0,5.6,1,0,0,0,Punit Malhotra,0
1928,Küçük Esnaf,2016,13.0,5.6,1,0,0,0,Bedran Güzel,0
1929,The Chosen Ones,2015,,6.7,1,0,0,0,David Pablos,0
1930,The Love Guru,2008,13.0,3.8,1,0,1,0,Marco Schnabel,0
1931,Consequences,2014,13.0,6.6,1,0,0,0,Darko Stante,0
1932,Elisa & Marcela,2019,18.0,6.5,1,0,0,0,Isabel Coixet,0
1933,The Clapper,2018,18.0,5.1,1,0,0,0,Dito Montiel,0
1934,7 Khoon Maaf,2011,,6.1,1,0,0,0,Vishal Bhardwaj,0
1935,Very Big Shot,2015,18.0,7.2,1,0,0,0,Mir-Jean Bou Chaaya,0
1936,Barça Dreams,2015,,7.3,1,0,0,0,Jordi Llompart,0
1937,"El Pepe, A Supreme Life",2019,,7.0,1,0,0,0,Emir Kusturica,0
1938,Frank and Cindy,2015,18.0,6.1,1,0,0,0,G.J. Echternkamp,0
1939,Monty Python's Flying Circus: Live at Aspen,1998,,7.9,1,0,0,0,Paul Miller,0
1940,Catwalk: Tales from the Catshow Circuit,2018,,6.3,1,0,0,0,"Aaron Hancox,Michael McNamara",0
1941,SuckSeed,2011,13.0,7.5,1,0,0,0,Chayanop Boonprakob,0
1942,Perdida,2018,18.0,5.6,1,0,0,0,David Fincher,0
1943,Why We Fight: The Battle of Russia,1943,,7.1,1,0,1,0,"Frank Capra,Anatole Litvak",0
1944,In the Shadow of Iris,2016,18.0,6.1,1,0,1,0,Jalil Lespert,0
1945,The Animal People,2019,,7.2,1,0,0,0,"Denis Henry Hennelly,Casey Suchan",0
1946,Despite Everything,2019,18.0,5.3,1,0,0,0,Gabriela Tagliavini,0
1947,Tyke Elephant Outlaw,2015,,7.4,1,0,0,0,"Susan Lambert,Stefan Moore",0
1948,Dragonheart 3: The Sorcerer's Curse,2015,13.0,5.1,1,0,0,0,Colin Teague,0
1949,Jackass Presents: Bad Grandpa .5,2014,13.0,6.3,1,0,0,0,Jeff Tremaine,0
1950,Barbie: Spy Squad,2016,7.0,5.7,1,0,0,0,"Michael Goguen,Conrad Helten",0
1951,David Cross: Making America Great Again,2016,,6.4,1,0,0,0,Alex Coletti,0
1952,The President's Barber,2004,18.0,6.9,1,0,0,0,Chan-sang Lim,0
1953,The Carter Effect,2017,16.0,7.1,1,0,0,0,Sean Menard,0
1954,Nate Bargatze: The Tennessee Kid,2019,,7.5,1,0,0,0,Ryan Polito,0
1955,Dying to Tell,2019,,6.7,1,0,0,0,Hernán Zin,0
1956,Jarhead 2: Field of Fire,2014,18.0,5.5,1,0,0,0,Don Michael Paul,0
1957,Neşeli Hayat,2009,,6.1,1,0,0,0,Yilmaz Erdogan,0
1958,Euphoria,2018,18.0,6.5,1,0,0,0,,0
1959,Growing Up Wild,2016,7.0,7.3,1,0,0,0,"Mark Linfield,Keith Scholey",0
1960,After Porn Ends 3,2018,18.0,5.3,1,0,0,0,Brittany Andrews,0
1961,Havenhurst,2016,,4.8,1,0,0,0,Andrew C. Erin,0
1962,Monster High: New Ghoul at School,2010,7.0,6.8,1,0,0,0,"Audu Paden,Eric Radomski",0
1963,Like Arrows,2018,,6.3,1,0,0,0,Kevin Peeples,0
1964,LEGO Marvel Super Heroes: Avengers Reassembled!,2015,7.0,6.2,1,0,0,0,Rob Silvestri,0
1965,Forever Pure,2016,,7.4,1,0,0,0,Maya Zinshtein,0
1966,God's Not Dead: A Light in Darkness,2018,7.0,4.5,1,0,0,0,Michael Mason,0
1967,A Grand Night In: The Story of Aardman,2015,7.0,7.6,1,0,0,0,"Richard Mears,Merlin Crossingham",0
1968,Taramani,2017,,7.5,1,0,1,0,Ram,0
1969,Rip Tide,2017,,5.5,1,0,0,0,Rhiannon Bannenberg,0
1970,Brené Brown: The Call to Courage,2019,,7.6,1,0,0,0,Sandra Restrepo,0
1971,One Day: Justice Delivered,2019,,5.6,1,0,0,0,Ashok Nanda,0
1972,Katt Williams: Great America,2018,18.0,6.1,1,0,0,0,Leslie Small,0
1973,Khubsoorat,1980,18.0,7.7,1,0,0,0,Shashanka Ghosh,0
1974,Judwaa 2,2017,16.0,3.8,1,0,0,0,David Dhawan,0
1975,Singularity,2017,13.0,3.8,1,0,0,0,Robert Kouba,0
1976,Gad Elmaleh: American Dream,2018,16.0,7.2,1,0,0,0,Michael Simon,0
1977,Kis Kisko Pyaar Karoon,2015,13.0,5.7,1,0,1,0,"Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla",0
1978,The Incredible Story of the Giant Pear,2017,,6.1,1,0,0,0,"Amalie Næsby Fick,Jørgen Lerdam,Philip Einstein Lipski",0
1979,The Heretics,2017,,4.7,1,0,0,0,Chad Archibald,0
1980,One Heart: The A.R. Rahman Concert Film,2017,,8.7,1,0,0,0,"Deepak Gattani,Ym Movies",0
1981,Samantaral,2017,,7.6,1,0,0,0,Partha Chakraborty,0
1982,The Girl from the Song,2017,,5.6,1,0,0,0,Ibai Abad,0
1983,Tikli and Laxmi Bomb,2017,,8.2,1,0,0,0,Aditya Kripalani,0
1984,The Wedding Curse,2006,,6.2,1,0,0,0,Chito S. Roño,0
1985,River's Edge,2018,,6.2,1,0,0,0,Tim Hunter,0
1986,Battle Drone,2018,13.0,5.2,1,0,0,0,Mitch Gould,0
1987,Puriyaatha Puthir,2017,,6.6,1,0,1,0,Ranjit Jeyakodi,0
1988,Fittest in Dubai,2019,7.0,6.0,1,0,0,0,Gerry Blaksley,0
1989,Fortune Feimster: Sweet & Salty,2020,,6.8,1,0,0,0,Krysia Plonka,0
1990,In Family I Trust,2019,,6.2,1,0,0,0,Patricia Font,0
1991,Ana e Vitória,2018,,6.6,1,0,0,0,Matheus Souza,0
1992,The Last Hangover,2018,,6.2,1,0,0,0,Rodrigo Van Der Put,0
1993,LEGO DC Comics Super Heroes: Batman: Be-Leaguered,2014,,6.6,1,0,0,0,,0
1994,Masameer: The Movie,2020,,6.0,1,0,0,0,Malik Nejer,0
1995,Ghost of the Mountains,2017,7.0,6.8,1,0,0,0,Ben Wallis,0
1996,Pottersville,2017,13.0,5.4,1,0,0,0,Seth Henrikson,0
1997,Riot,2015,,5.1,1,0,0,0,John Lyde,0
1998,The Last Resort,2018,,7.3,1,0,0,0,Brandon Nutt,0
1999,He Even Has Your Eyes,2017,,6.2,1,0,0,0,Lucien Jean-Baptiste,0
2000,The Hard Way,2019,,4.8,1,0,0,0,Vincent Sherman,0
2001,Jim Norton: Mouthful of Shame,2017,18.0,6.8,1,0,0,0,Shannon Hartman,0
2002,Barbie & Her Sisters in A Pony Tale,2013,7.0,6.2,1,0,0,0,Kyran Kelly,0
2003,Luv Shuv Tey Chicken Khurana,2012,7.0,6.6,1,0,0,0,Sameer Sharma,0
2004,My Little Pony: Best Gift Ever,2018,7.0,8.0,1,0,0,0,"Denny Lu,Mike Myhre,Jim Miller",0
2005,Tig Notaro: Happy To Be Here,2018,16.0,6.6,1,0,0,0,Tig Notaro,0
2006,Surga Yang Tak Dirindukan 2,2017,,7.2,1,0,0,0,"Hanung Bramantyo,Meisa Felaroze",0
2007,Pahuna: The Little Visitors,2017,,7.6,1,0,0,0,Paakhi A. Tyrewala,0
2008,Azhar,2016,13.0,5.8,1,0,0,0,Anthony D'Souza,0
2009,Never Heard,2018,13.0,5.2,1,0,0,0,Josh Webber,0
2010,Mayday Life,2019,,7.7,1,0,0,0,Muh Chen,0
2011,Ferrari Ki Sawaari,2012,7.0,6.4,1,0,1,0,Rajesh Mapuskar,0
2012,Secret Obsession,2019,13.0,4.3,1,0,0,0,Peter Sullivan,0
2013,Hedefim Sensin,2018,,6.2,1,0,0,0,Kivanç Baruönü,0
2014,Barbie in Rock 'N Royals,2015,7.0,6.0,1,0,0,0,"Michael Goguen,Karen J. Lloyd",0
2015,"Ray Romano: Right Here, Around the Corner",2019,,7.2,1,0,0,0,Michael Showalter,0
2016,Merata: How Mum Decolonised the Screen,2019,,6.9,1,0,0,0,Hepi Mita,0
2017,Raja Natwarlal,2014,7.0,6.1,1,0,0,0,Kunal Deshmukh,0
2018,Mother,2016,,5.6,1,1,1,0,Darren Aronofsky,0
2019,"Ken Jeong: You Complete Me, Ho",2019,,5.7,1,0,0,0,Jon M. Chu,0
2020,The Apostate,1987,,6.0,1,0,0,0,Federico Veiroj,0
2021,Hamid,2019,,7.8,1,0,0,0,Aijaz Khan,0
2022,Let's Dance,2019,18.0,5.9,1,0,0,0,Anne Fletcher,0
2023,Clair Obscur,2016,,6.5,1,0,0,0,Yesim Ustaoglu,0
2024,Burning Cane,2019,,5.5,1,0,0,0,Phillip Youmans,0
